"","Player","Squad","Comp","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"1","Aaron Ramsdale","Bournemouth","Premier League",2020,92,92,92,92,96,73,96,95,45,59,67,99,50,19,83,85,86,80,62
"2","Aaron Ramsdale","Sheffield Utd","Premier League",2021,100,100,100,100,97,70,99,99,53,48,23,100,50,18,64,65,54,97,54
"3","Alban Lafont","Toulouse","Ligue 1",2017.5,92.5,92.5,92.5,93,78,37.5,86,88,68,61.5,92,89,86.5,66,89.5,94.5,70,80,55
"4","Alban Lafont","Fiorentina","Serie A",2019,76,76,71,71,65,28,65,68,66,52,100,67,70,47,83,85,86,80,62
"5","Albano Bizzarri","Pescara","Serie A",2017,57,57,57,57,98,94,91,79,14,16,59,99,27,12,75,85,54,80,54
"6","Alberto García","Sporting Gijón","La Liga",2016,14,15,14,14,19,91,18,20,29,21,17,22,10,10,50,28,96,80,97
"7","Alex Meret","SPAL","Serie A",2018,27,27,26,26,22,32,28,32,90,21,67,28,41,69,75,65,96,80,86
"8","Alexander Nübel","Schalke 04","Bundesliga",2019.5,43,43,41.5,41.5,54.5,67,49,48,42,42.5,71,53.5,45.5,38.5,64,71.5,70,80,64
"9","Alexander Schwolow","Freiburg","Bundesliga",2018.5,65.5,65.5,64,64,81.75,68.25,80.25,78.25,44.25,60,76.75,75.75,56,35,74.25,79.25,64.5,84.25,61.25
"10","Alexander Schwolow","Hertha BSC","Bundesliga",2021.5,49,49,48,48,73.5,74,57,51,28.5,45.5,69.5,70.5,55.5,47,79,88,54,80,54
"11","Alexandre Oukidja","Strasbourg","Ligue 1",2018,34,32,32,32,44,79,33,30,18,27,51,50,27,17,75,78,86,80,67
"12","Alfred Gomis","SPAL","Serie A",2018.5,44.5,43,43,43,56,61.5,54.5,56,47,35,63,68,45.5,44,54,59.5,70,80,56.5
"13","Alfred Gomis","Dijon","Ligue 1",2020.5,25,25.5,24,24,21.5,54.5,27,31,85.5,25,42,34,33.5,41,34.5,46.5,54,80,54
"14","Alisson","Roma","Serie A",2018,92,92,92,92,42,5,71,83,95,96,75,46,99,95,75,65,96,80,86
"15","Alphonse Areola","Villarreal","La Liga",2016,65,66,65,66,38,7,51,59,82,89,75,46,97,95,35,28,86,80,95
"16","Alphonse Areola","Paris S-G","Ligue 1",2018,49,48.6666666666667,48.6666666666667,48.6666666666667,27,7.66666666666667,32.6666666666667,36,63.6666666666667,81.6666666666667,38,18,80.6666666666667,95.6666666666667,44.3333333333333,44.6666666666667,64.6666666666667,85.6666666666667,67.6666666666667
"17","Alphonse Areola","Real Madrid","La Liga",2020,10,11,11,11,9,34,7,7,91,27,17,2,19,54,35,48,54,80,54
"18","Alphonse Areola","Fulham","Premier League",2021,85,85,85,86,81,42,88,90,73,38,97,94,76,54,83,91,54,80,54
"19","Andreas Luthe","Augsburg","Bundesliga",2018,5,6,5,5,6,87,3,2,5,7,17,10,10,10,19,28,54,80,54
"20","Andriy Lunin","Leganés","La Liga",2019,12,11,11,11,9,32,10,11,91,16,8,22,27,97,35,28,86,80,95
"21","Andrés Fernández","Granada","La Liga",2016,92,92,87,92,98,80,90,80,12,64,75,96,41,15,75,78,54,97,54
"22","Andrés Fernández","Villarreal","La Liga",2018.5,15.5,16,14.75,14.75,14.75,59.5,15.75,17.75,69.25,27.25,20,16,26.5,56,38,49.75,54,80,54
"23","Angus Gunn","Southampton","Premier League",2019.5,23.5,24,23.5,23.5,30.5,77,25,22.5,11.5,27,32,34,30.5,45.5,27,25.5,70,80,77
"24","Antonio Mirante","Bologna","Serie A",2017.5,55.5,55.5,55,55,63.5,54,62.5,64,42.5,56,46,78.5,66.5,62.5,50,38,70,97,74.5
"25","Asmir Begović","Bournemouth","Premier League",2018.5,73,73,73,73,87,75.5,71.5,64,13,61,62.5,83.5,53.5,31.5,42.5,48,70,80,68.5
"26","Asmir Begović","Milan","Serie A",2020,5,2,2,2,4,89,3,3,57,7,8,10,10,10,19,28,54,80,54
"27","Baptiste Reynet","Dijon","Ligue 1",2017.5,96,96,96,96,96,74,98.5,97,61.5,65,89.5,90.5,63,34,99.5,99.5,92.5,88.5,61
"28","Baptiste Reynet","Toulouse","Ligue 1",2019.5,53,52.5,51,51,78.5,74.5,67.5,63,33,35,62.5,85.5,42,24.5,75,71.5,91,80,76.5
"29","Bartłomiej Drągowski","Empoli","Serie A",2019,28,29,29,29,34,74,46,51,90,38,23,46,34,40,64,65,86,80,74
"30","Bartłomiej Drągowski","Fiorentina","Serie A",2021,54.3333333333333,54.6666666666667,51.3333333333333,52.3333333333333,58.3333333333333,50,54,49.6666666666667,55,44.6666666666667,66.6666666666667,62,53.3333333333333,50.6666666666667,75.3333333333333,72.3333333333333,92.6666666666667,80,78.6666666666667
"31","Ben Foster","West Brom","Premier League",2017.5,96,96,96,96,87.5,49.5,84,81.5,32.5,59,89.5,94,69.5,42,34.5,46.5,54,80,54
"32","Ben Hamer","Leicester City","Premier League",2018,10,9,8,8,11,93,6,5,2,7,17,16,19,78,19,28,54,80,54
"33","Benjamin Lecomte","Lorient","Ligue 1",2017,62,62,62,62,86,73,88,86,42,52,41,96,41,18,64,48,86,97,83
"34","Benjamin Lecomte","Montpellier","Ligue 1",2020,76,76,76,76,50.3333333333333,19.6666666666667,59,63.6666666666667,79.6666666666667,71,76.3333333333333,51.3333333333333,83.6666666666667,81,74,66,78.6666666666667,91.3333333333333,74.3333333333333
"35","Benoît Costil","Rennes","Ligue 1",2017,100,100,100,100,69,22,76,79,56,75,98,73,91,72,64,28,86,99,95
"36","Benoît Costil","Bordeaux","Ligue 1",2020,75.8,76,76,76.2,77,47.4,69.8,65,41.2,62,76.4,81,64,48.8,80,79.6,82.4,80,69.6
"37","Bernd Leno","Leverkusen","Bundesliga",2017.5,73,73,73,73,77.5,48.5,70.5,66.5,34,77,81.5,67.5,69.5,49,62.5,75,54,80,54
"38","Bernd Leno","Arsenal","Premier League",2020,68,67,65.3333333333333,65.6666666666667,63,34,72.3333333333333,76.6666666666667,71.3333333333333,78.3333333333333,74.3333333333333,57.6666666666667,70.6666666666667,53.6666666666667,71,71.6666666666667,75.3333333333333,80,69.3333333333333
"39","Bingourou Kamara","Strasbourg","Ligue 1",2019.5,28,28.5,27,27,35.5,75,28.5,27,13.5,27,33.5,48.5,27,34.5,27,38,54,80,54
"40","Boris Radunović","Hellas Verona","Serie A",2020,8,9,8,8,13,97,7,6,9,16,8,16,19,78,35,48,54,80,54
"41","Brice Samba","Caen","Ligue 1",2018.5,55,54.5,54.5,54.5,47.5,37.5,53.5,55,88,32,56.5,53,51.5,73.5,56,59.5,75,80,64
"42","Christian Mathenia","Hamburger SV","Bundesliga",2017.5,37,37.5,37.5,37.5,43.5,55,36,35,33.5,35.5,50,58,45.5,47,49.5,56.5,54,88.5,54
"43","Christian Puggioni","Sampdoria","Serie A",2017.5,30.5,31,31,31,36.5,57,39.5,43,79,38,45,36.5,37.5,56,62.5,71.5,70,80,60.5
"44","Ciprian Tătărușanu","Fiorentina","Serie A",2017,80,80,76,76,85,55,84,83,47,81,88,63,86,71,75,78,54,97,54
"45","Ciprian Tătărușanu","Nantes","Ligue 1",2018.5,72.5,72.5,71,71,53,20.5,57,59,55.5,66.5,73.5,78,77,65,57,38,76.5,88.5,75.5
"46","Claudio Bravo","Barcelona","La Liga",2016,65,66,63,66,31,2,52,64,93,98,41,28,98,97,19,28,54,80,54
"47","Claudio Bravo","Manchester City","Premier League",2017,43,43,42,42,38,28,28,26,5,75,51,34,50,44,19,3,86,80,100
"48","Daniele Padelli","Torino","Serie A",2017,5,6,5,5,6,87,3,2,5,16,8,10,10,10,19,28,54,80,54
"49","David Soria","Sevilla","La Liga",2018,30,30,29,29,27,44,27,29,52,48,41,28,50,78,50,48,54,97,54
"50","Dean Henderson","Sheffield Utd","Premier League",2020,85,85,85,86,52,10,65,72,79,81,93,67,93,82,50,28,86,97,95
"51","Diego Benaglio","Wolfsburg","Bundesliga",2017,28,29,29,29,31,65,30,30,36,38,17,50,34,40,64,48,86,97,83
"52","Diego Mariño","Levante","La Liga",2016,44,44,44,44,72,82,60,58,25,43,32,82,34,18,50,65,54,80,54
"53","Donovan Léon","Brest","Ligue 1",2020,5,2,2,2,4,92,6,7,95,16,8,2,19,100,19,28,54,80,54
"54","Edouard Mendy","Reims","Ligue 1",2019,100,100,100,100,69,22,81,86,85,78,100,57,95,84,89,96,54,80,54
"55","Edouard Mendy","Rennes","Ligue 1",2020,46,46,46,46,27,5,36,43,92,78,51,40,76,85,64,65,86,80,74
"56","Eiji Kawashima","Metz","Ligue 1",2017.5,34.5,35,33.5,33.5,52.5,59,51,49,45,29.5,42,54,23,24.5,27,3,91,80,100
"57","Emiliano Martínez","Getafe","La Liga",2018,12,13,12,12,11,48,10,10,37,21,17,16,27,90,19,28,54,80,54
"58","Emiliano Martínez","Arsenal","Premier League",2018.5,12.5,12.5,12,12,9,38,12.5,14,86.5,27,12.5,13,26.5,91,19,28,54,80,54
"59","Emiliano Viviano","Sampdoria","Serie A",2017.5,43.5,44,43.5,43.5,50,47,50.5,49.5,55.5,59,46,53.5,45.5,36.5,66.5,48,93,80,90
"60","Etrit Berisha","Atalanta","Serie A",2018,49.3333333333333,49.3333333333333,49.3333333333333,49.3333333333333,42.6666666666667,28,37.3333333333333,37.3333333333333,29.6666666666667,73.6666666666667,62.3333333333333,39.3333333333333,68.6666666666667,68.6666666666667,40,40.3333333333333,64.6666666666667,85.6666666666667,67.6666666666667
"61","Etrit Berisha","SPAL","Serie A",2020,50,50,50,50,73,73,79,83,74,38,32,94,34,16,83,91,54,80,54
"62","Fabian Bredlow","Nürnberg","Bundesliga",2019,28,25,26,26,42,92,29,24,3,21,32,46,27,28,35,3,86,97,100
"63","Fernando Pacheco","Alavés","La Liga",2019.5,82.3333333333333,79.6666666666667,78.3333333333333,78.5,79,49.5,76.3333333333333,72.8333333333333,51.5,65.1666666666667,70.5,85.3333333333333,71.6666666666667,50.5,84.3333333333333,85.5,83,82.8333333333333,69.6666666666667
"64","Florian Müller","Mainz 05","Bundesliga",2019,28.3333333333333,28,27.6666666666667,28,39.6666666666667,71.3333333333333,34.6666666666667,33.3333333333333,27.6666666666667,31.6666666666667,24,48.6666666666667,32,34.3333333333333,44.3333333333333,38.6666666666667,75.3333333333333,85.6666666666667,79
"65","Florian Müller","Freiburg","Bundesliga",2021,62,62,62,62,77,55,85,88,60,70,75,73,57,35,50,48,86,80,83
"66","Fraser Forster","Southampton","Premier League",2019.5,48.75,49,48.75,48.75,49.75,54.75,44.5,43.25,40,46,53.5,56,49.25,50,50,47.5,78,84.75,74
"67","Frederik Rønnow","Eint Frankfurt","Bundesliga",2020,20,21,21,21,21,64,23,26,80,21,32,28,19,16,35,48,54,80,54
"68","Frederik Rønnow","Schalke 04","Bundesliga",2021,23,23,22,23,34,93,32,32,48,7,41,40,19,14,64,78,54,80,54
"69","Gabriel","Cagliari","Serie A",2017,8,9,8,8,9,72,6,7,43,16,17,10,10,10,19,28,54,80,54
"70","Gerónimo Rulli","Real Sociedad","La Liga",2017.5,72,72,71,71,72.25,47.25,66.5,66.5,39,74,71,68.75,73.25,59,74.25,67.25,86,89.5,72.75
"71","Gerónimo Rulli","Montpellier","Ligue 1",2020,48,48,48,48,40,20,60,69,92,70,67,46,70,73,75,65,96,80,86
"72","Gianluigi Buffon","Juventus","Serie A",2019,34.5,35,34.25,34.25,19.75,8,24.5,27.5,83.5,70.25,22.25,15.5,57.5,72.25,42,42.25,70,84.25,66.25
"73","Gianluigi Donnarumma","Milan","Serie A",2019,92.4,92.4,89.8,89.8,64.2,20.2,73.2,76.2,69.8,92.4,81.2,55.8,90.8,75.4,73.8,64.8,84.4,90.8,76.4
"74","Gorka Iraizoz","Athletic Club","La Liga",2016.5,62,61,58.5,58.5,44,30.5,44.5,49.5,44,63.5,53.5,59.5,63.5,58.5,62.5,53,91,80,82
"75","Gregor Kobel","Augsburg","Bundesliga",2019,32,32,30,30,69,97,44,36,4,33,23,63,34,33,35,28,86,80,95
"76","Gregor Kobel","Hoffenheim","Bundesliga",2019,2,2,2,2,1,16,3,5,100,16,8,2,10,10,19,28,54,80,54
"77","Gregor Kobel","Stuttgart","Bundesliga",2021,70,70,70,70,89,70,85,80,41,70,83,78,50,23,89,85,96,80,76
"78","Guillermo Ochoa","Granada","La Liga",2017,100,100,100,100,100,91,100,100,30,33,75,100,34,12,64,48,86,97,83
"79","Iago Herrerín","Leganés","La Liga",2017,41,41,39,39,36,31,31,32,29,33,67,63,57,62,64,65,86,80,74
"80","Ionuț Radu","Genoa","Serie A",2019.5,52,52.5,52,52,66,68,63,63,57,32,74.5,70.5,42,24,86,88,70,88.5,58
"81","Ionuț Radu","Auxerre","Ligue 1",2023,32,32,32,32,24,18,32,35,76,33,59,40,50,71,35,3,96,80,100
"82","Ivan Provedel","Empoli","Serie A",2019,32,32,32,32,57,93,51,50,36,33,41,50,10,10,64,65,54,97,54
"83","Ivan Provedel","Spezia","Serie A",2021.5,59.5,59.5,58.5,58.5,88,78.5,78,73,43,51,69.5,85,52,31.5,94,95,70,89.5,56.5
"84","Ivo Grbić","Lille","Ligue 1",2022,41,41,41,41,42,42,40,41,44,52,67,40,27,14,35,48,54,80,54
"85","Iván Cuéllar","Sporting Gijón","La Liga",2016.5,75,75.5,75,76,90.5,72,90,92.5,41.5,47.5,81.5,93.5,63,38,93,88,91,89.5,68
"86","Jack Butland","Stoke City","Premier League",2018,80,80,80,80,95,76,99,99,61,48,93,92,57,28,75,85,54,80,54
"87","Jasper Cillessen","Barcelona","La Liga",2019,8,9,8,8,6,42,7,9,91,16,17,10,19,78,19,28,54,80,54
"88","Jean-Louis Leca","Bastia","Ligue 1",2017,76,76,71,71,72,36,77,79,66,52,83,89,70,47,93,78,99,97,87
"89","Jessy Moulin","Saint-Étienne","Ligue 1",2019.66666666667,26.3333333333333,26.3333333333333,25.6666666666667,25.6666666666667,28.3333333333333,45.6666666666667,25.3333333333333,26,69,29.6666666666667,38,33,40.6666666666667,79.3333333333333,39.3333333333333,51.3333333333333,54,80,54
"90","Joe Hart","Torino","Serie A",2017,85,85,85,86,96,75,90,81,25,75,98,63,50,20,83,91,54,80,54
"91","Joe Hart","West Ham","Premier League",2018,38,38,38,38,62,88,43,36,11,27,59,63,41,39,75,78,86,80,67
"92","Joel Robles","Everton","Premier League",2017,39,38,38,38,28,17,37,43,87,75,41,22,82,98,35,48,54,80,54
